year_month,Quantity_received,Quantity_shipped,monthly_net,cumulative_inventory
2021-01,19683,1328,18355,18355
2021-02,44543,11403,33140,51495
2021-03,44869,24607,20262,71757
2021-04,126640,40387,86253,158010
2021-05,146842,41292,105550,263560
2021-06,112525,158342,-45817,217743
2021-07,68883,111439,-42556,175187
2021-08,155213,174878,-19665,155522
2021-09,188633,207914,-19281,136241
2021-10,141008,126355,14653,150894
2021-11,164609,120758,43851,194745
2021-12,216456,92285,124171,318916
2022-01,138913,83002,55911,374827
2022-02,345693,97578,248115,622942
2022-03,224212,130860,93352,716294
2022-04,149328,62848,86480,802774
2022-05,100747,85066,15681,818455
2022-06,149732,101963,47769,866224
2022-07,145619,108371,37248,903472
2022-08,241480,111043,130437,1033909
2022-09,135593,98234,37359,1071268
2022-10,57470,110382,-52912,1018356
2022-11,121152,27728,93424,1111780
2022-12,74756,134807,-60051,1051729
2023-01,112071,85165,26906,1078635
2023-02,104568,121118,-16550,1062085
2023-03,144167,163347,-19180,1042905
2023-04,115696,169361,-53665,989240
2023-05,216023,136418,79605,1068845
2023-06,105333,122068,-16735,1052110
2023-07,87872,141373,-53501,998609
2023-08,92071,88614,3457,1002066
2023-09,24964,30819,-5855,996211
