year_month,Normal,Overstocking,Understocking
2021-01,1,200,10
2021-02,35,563,67
2021-03,72,656,119
2021-04,88,672,86
2021-05,73,766,123
2021-06,101,965,244
2021-07,103,1071,267
2021-08,103,1012,281
2021-09,92,1071,240
2021-10,69,1015,137
2021-11,97,1274,172
2021-12,78,1206,163
2022-01,73,1166,167
2022-02,62,1084,146
2022-03,94,1205,167
2022-04,50,977,80
2022-05,65,943,125
2022-06,87,1045,136
2022-07,93,1044,185
2022-08,102,1155,236
2022-09,82,977,220
2022-10,66,852,170
2022-11,26,660,63
2022-12,79,969,220
2023-01,89,931,300
2023-02,92,835,348
2023-03,92,999,340
2023-04,84,876,253
2023-05,102,1030,309
2023-06,86,962,291
2023-07,101,985,261
2023-08,70,955,158
2023-09,36,582,73
